s no.,sepal_length,sepal_width,petal_length,petal_width,B-E,MEAN,PRODUCT,,,,,
61,5.2,2.7,3.9,1.4,3.8,3.30,76.66,,,,,
62,5,2,3.5,1,4,2.88,35.00,,,,,
63,5.9,3,4.2,1.5,4.4,3.65,111.51,,,,,
64,6,2.2,4,1,5,3.30,52.80,,,,,
65,6.1,2.9,4.7,1.4,4.7,3.78,116.40,,,,,
66,5.6,2.9,3.6,1.3,4.3,3.35,76.00,,,,,
67,6.7,3.1,4.4,1.4,5.3,3.90,127.94,,,,,
68,5.6,3,4.5,1.5,4.1,3.65,113.40,,,,,
69,5.8,2.7,4.1,1,4.8,3.40,64.21,,,,,
70,6.2,2.2,4.5,1.5,4.7,3.60,92.07,,,,,
71,5.6,2.5,3.9,1.1,4.5,3.28,60.06,,,,,
72,5.9,3.2,4.8,1.8,4.1,3.93,163.12,,,,,
73,6.1,2.8,4,1.3,4.8,3.55,88.82,,,,,
74,6.3,2.5,4.9,1.5,4.8,3.80,115.76,,,,,
75,6.1,2.8,4.7,1.2,4.9,3.70,96.33,,,,,
76,6.4,2.9,4.3,1.3,5.1,3.73,103.75,,,,,
77,6.6,3,4.4,1.4,5.2,3.85,121.97,,,,,
78,6.8,2.8,4.8,1.4,5.4,3.95,127.95,,,,,
79,6.7,3,5,1.7,5,4.10,170.85,,,,,
80,6,2.9,4.5,1.5,4.5,3.73,117.45,,,,,
81,5.7,2.6,3.5,1,4.7,3.20,51.87,,,,,
82,5.5,2.4,3.8,1.1,4.4,3.20,55.18,,,,,
83,5.5,2.4,3.7,1,4.5,3.15,48.84,,,,,
84,5.8,2.7,3.9,1.2,4.6,3.40,73.29,,,,,
85,6,2.7,5.1,1.6,4.4,3.85,132.19,,,,,
86,5.4,3,4.5,1.5,3.9,3.60,109.35,,,,,
87,6,3.4,4.5,1.6,4.4,3.88,146.88,,,,,
88,6.7,3.1,4.7,1.5,5.2,4.00,146.43,,,,,
89,6.3,2.3,4.4,1.3,5,3.58,82.88,,,,,
90,5.6,3,4.1,1.3,4.3,3.50,89.54,,,,,
91,5.5,2.5,4,1.3,4.2,3.33,71.50,,,,,
92,5.5,2.6,4.4,1.2,4.3,3.43,75.50,,,,,
93,6.1,3,4.6,1.4,4.7,3.78,117.85,,,,,
94,5.8,2.6,4,1.2,4.6,3.40,72.38,,,,,
95,5,2.3,3.3,1,4,2.90,37.95,,,,,
96,5.6,2.7,4.2,1.3,4.3,3.45,82.56,,,,,
97,5.7,3,4.2,1.2,4.5,3.53,86.18,,,,,
98,5.7,2.9,4.2,1.3,4.4,3.53,90.25,,,,,
99,6.2,2.9,4.3,1.3,4.9,3.68,100.51,,,,,
100,5.1,2.5,3,1.1,4,2.93,42.08,,,,,
101,5.7,2.8,4.1,1.3,4.4,3.48,85.07,,,,,
,,,,,MAX=4.10,2.88,0.00,,,,,
102,6.3,3.3,6,2.5,3.8,4.53,311.85,,,,,
103,5.8,2.7,5.1,1.9,3.9,3.88,151.75,,,,,
104,7.1,3,5.9,2.1,5,4.53,263.91,,,,,
105,6.3,2.9,5.6,1.8,4.5,4.15,184.16,,,,,
106,6.5,3,5.8,2.2,4.3,4.38,248.82,,,,,
107,7.6,3,6.6,2.1,5.5,4.83,316.01,,,,,
108,4.9,2.5,4.5,1.7,3.2,3.40,93.71,,,,,
109,7.3,2.9,6.3,1.8,5.5,4.58,240.07,,,,,
110,6.7,2.5,5.8,1.8,4.9,4.20,174.87,,,,,
111,7.2,3.6,6.1,2.5,4.7,4.85,395.28,,,,,
112,6.5,3.2,5.1,2,4.5,4.20,212.16,,,,,
113,6.4,2.7,5.3,1.9,4.5,4.08,174.01,,,,,
114,6.8,3,5.5,2.1,4.7,4.35,235.62,,,,,
115,5.7,2.5,5,2,3.7,3.80,142.50,,,,,
116,5.8,2.8,5.1,2.4,3.4,4.03,198.78,,,,,
117,6.4,3.2,5.3,2.3,4.1,4.30,249.65,,,,,
118,6.5,3,5.5,1.8,4.7,4.20,193.05,,,,,
119,7.7,3.8,6.7,2.2,5.5,5.10,431.29,,,,,
120,7.7,2.6,6.9,2.3,5.4,4.88,317.72,,,,,
121,6,2.2,5,1.5,4.5,3.68,99.00,,,,,
122,6.9,3.2,5.7,2.3,4.6,4.53,289.47,,,,,
123,5.6,2.8,4.9,2,3.6,3.83,153.66,,,,,
124,7.7,2.8,6.7,2,5.7,4.80,288.90,,,,,
125,6.3,2.7,4.9,1.8,4.5,3.93,150.03,,,,,
126,6.7,3.3,5.7,2.1,4.6,4.45,264.66,,,,,
127,7.2,3.2,6,1.8,5.4,4.55,248.83,,,,,
128,6.2,2.8,4.8,1.8,4.4,3.90,149.99,,,,,
129,6.1,3,4.9,1.8,4.3,3.95,161.41,,,,,
130,6.4,2.8,5.6,2.1,4.3,4.23,210.74,,,,,
131,7.2,3,5.8,1.6,5.6,4.40,200.45,,,,,
132,7.4,2.8,6.1,1.9,5.5,4.55,240.14,,,,,
133,7.9,3.8,6.4,2,5.9,5.03,384.26,,,,,
134,6.4,2.8,5.6,2.2,4.2,4.25,220.77,,,,,
135,6.3,2.8,5.1,1.5,4.8,3.93,134.95,,,,,
136,6.1,2.6,5.6,1.4,4.7,3.93,124.34,,,,,
137,7.7,3,6.1,2.3,5.4,4.78,324.09,,,,,
138,6.3,3.4,5.6,2.4,3.9,4.43,287.88,,,,,
139,6.4,3.1,5.5,1.8,4.6,4.20,196.42,,,,,
140,6,3,4.8,1.8,4.2,3.90,155.52,,,,,
141,6.9,3.1,5.4,2.1,4.8,4.38,242.56,,,,,
142,6.7,3.1,5.6,2.4,4.3,4.45,279.15,,,,,
143,6.9,3.1,5.1,2.3,4.6,4.35,250.90,,,,,
144,5.8,2.7,5.1,1.9,3.9,3.88,151.75,,,,,
145,6.8,3.2,5.9,2.3,4.5,4.55,295.28,,,,,
146,6.7,3.3,5.7,2.5,4.2,4.55,315.07,,,,,
147,6.7,3,5.2,2.3,4.4,4.30,240.40,,,,,
148,6.3,2.5,5,1.9,4.4,3.93,149.63,,,,,
149,6.5,3,5.2,2,4.5,4.18,202.80,,,,,
150,6.2,3.4,5.4,2.3,3.9,4.33,261.81,,,,,
151,5.9,3,5.1,1.8,4.1,3.95,162.49,,,,,
,,,,,MAX=5.10,3.40,,,,,,
